166.023 -6.00458 -14.8427 1
168 -6 30 0
168.001 -6 30 1
168 -6 24 0
168.028 -6.03973 24.0896 1
168 -6 -2.5 0
168.149 -5.98816 -2.53502 1
168 -6 -4 0
168.135 -6.01342 -4.00461 1
168 -6 -4.5 0
168.185 -6.01787 -4.46553 1
168 -6 -5.5 0
168.119 -6.00767 -5.47407 1
168 -6 -15 0
168.009 -5.99244 -14.8673 1
168 -6 -15.5 0
168.02 -5.96878 -15.3731 1
170 -6 -8 0
170.026 -6.01754 -7.98284 1
172 -6 -15 0
172 -5.96837 -14.7778 1
174 -6 -15 0
174.002 -6.00217 -14.9757 1
176 -6 -15 0
176.001 -5.99336 -15.0033 1
176 -6 -15.5 0
176.006 -5.97996 -15.4856 1
178 -6 -0.5 0
178 -6 -0.5 1
180 -6 -6 0
180 -5.95773 -6 1
180 -6 -6.5 0
180 -5.94923 -6.5 1
180 -6 -15.5 0
179.996 -5.98398 -15.3219 1
182 -6 -6.5 0
182 -5.94923 -6.5 1
182 -6 -7 0
182 -5.95773 -7 1
184 -6 -14.5 0
184.03 -6.09699 -14.396 1
184 -6 -15.5 0
184.015 -6.00477 -15.4073 1
186 -6 -16 0
186.038 -5.96061 -15.7344 1
188 -6 -16 0
188.011 -5.98143 -15.8147 1
190 -6 22 0
190 -6 22 1
190 -6 -15.5 0
190.004 -6.00797 -15.3675 1
190 -6 -16.5 0
189.99 -5.92412 -16.3547 1
192 -6 -15.5 0
191.981 -6.00749 -15.3564 1
192 -6 -16.5 0
191.995 -5.89866 -16.3551 1
194 -6 26 0
194 -6 26 1
194 -6 24 0
194 -6 24 1
194 -6 19 0
194.018 -5.99018 19.0751 1
194 -6 16 0
194.024 -5.96744 16.0133 1
194 -6 12.5 0
194 -5.92229 12.5 1
194 -6 -13.5 0
194.066 -5.98189 -13.5298 1
194 -6 -15.5 0
193.979 -5.98749 -15.2911 1
194 -6 -16.5 0
194.031 -5.88391 -16.2985 1
196 -6 14 0
196 -5.88021 14 1
196 -6 13.5 0
196 -5.87211 13.5 1
196 -6 12.5 0
196 -5.87747 12.5 1
198 -6 19 0
198 -5.93292 19 1
198 -6 18 0
198 -5.90996 18 1
198 -6 13.5 0
198 -5.98383 13.5 1
198 -6 -16.5 0
198 -5.98463 -16.483 1
200 -6 20 0
200 -5.90052 20 1
200 -6 19.5 0
200 -5.90542 19.5 1
200 -6 18.5 0
200 -5.87071 18.5 1
200 -6 -1 0
200 -6 -1 1
200 -6 -1.5 0
